epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5171695947647095,0.5262689590454102,9.999999747378752e-05,0.8034447431564331,0.40329670906066895,0.48803192377090454,0.6270833611488342,0.7174831032752991,0.6486190557479858,0.5090909004211426,0.760869562625885
1,0.75,0.7552083730697632,9.999999747378752e-05,0.5405851602554321,0.5,0.625,0.6270833611488342,0.7202280163764954,0.6452851891517639,0.5090909004211426,0.760869562625885
2,0.6144641041755676,0.6518250703811646,9.999999747378752e-05,0.681918740272522,0.5029239654541016,0.5764074921607971,0.7250000238418579,0.818228542804718,0.5614047646522522,0.6015625,0.8369565010070801
3,0.625,0.6865079402923584,9.999999747378752e-05,0.6493669748306274,0.5625,0.6428571343421936,0.7270833253860474,0.8185315132141113,0.5613183975219727,0.6031128168106079,0.842391312122345
4,0.6945889592170715,0.7604383230209351,9.999999747378752e-05,0.5827765464782715,0.5922444462776184,0.6774193644523621,0.7458333373069763,0.8636347055435181,0.5127450227737427,0.6220472455024719,0.8586956262588501
5,0.75,0.8125,9.999999747378752e-05,0.557889997959137,0.7222222089767456,0.8125,0.7479166388511658,0.8642956614494324,0.513080894947052,0.6235294342041016,0.864130437374115
6,0.7528616189956665,0.8183446526527405,9.999999747378752e-05,0.5230039358139038,0.6654456853866577,0.7305629849433899,0.768750011920929,0.8880361318588257,0.4836074113845825,0.6454183459281921,0.8804348111152649
7,0.84375,0.9206348657608032,9.999999747378752e-05,0.4065952003002167,0.800000011920929,0.8571428656578064,0.768750011920929,0.8883849382400513,0.4833768904209137,0.6454183459281921,0.8804348111152649
8,0.750780463218689,0.8335493803024292,9.999999747378752e-05,0.5031412243843079,0.660649836063385,0.7359249591827393,0.7604166865348816,0.9034867286682129,0.47815704345703125,0.6332046389579773,0.8913043737411499
9,0.875,0.9563491940498352,9.999999747378752e-05,0.33485424518585205,0.8571428656578064,0.8571428656578064,0.7604166865348816,0.9037070274353027,0.47896766662597656,0.6332046389579773,0.8913043737411499
10,0.7840790748596191,0.8646170496940613,9.999999747378752e-05,0.46224913001060486,0.6948356628417969,0.7925033569335938,0.8020833134651184,0.9142827987670898,0.4240628778934479,0.6909871101379395,0.875
11,0.75,0.7874493598937988,9.999999747378752e-05,0.5577172040939331,0.692307710647583,0.692307710647583,0.8020833134651184,0.9142002463340759,0.4238329827785492,0.6909871101379395,0.875
12,0.8069719076156616,0.8811649680137634,9.999999747378752e-05,0.4364563822746277,0.7389659285545349,0.781333327293396,0.8020833134651184,0.9220402240753174,0.4119335114955902,0.6909871101379395,0.875
13,0.90625,0.9636363387107849,9.999999747378752e-05,0.3119433522224426,0.8181818127632141,0.8999999761581421,0.8020833134651184,0.9223248362541199,0.41111472249031067,0.6909871101379395,0.875
14,0.8251820802688599,0.8977094888687134,9.999999747378752e-05,0.40862423181533813,0.7665369510650635,0.7911646366119385,0.800000011920929,0.9271078109741211,0.41727977991104126,0.6788617968559265,0.907608687877655
15,0.78125,0.8785424828529358,9.999999747378752e-05,0.4511393904685974,0.75,0.692307710647583,0.800000011920929,0.9271812438964844,0.4168914258480072,0.6788617968559265,0.907608687877655
16,0.8220603466033936,0.9072807431221008,9.999999747378752e-05,0.3919219374656677,0.7490820288658142,0.8170894384384155,0.8125,0.9317071437835693,0.3898310959339142,0.7025862336158752,0.885869562625885
17,0.875,0.8831168413162231,9.999999747378752e-05,0.41843101382255554,0.7692307829856873,0.9090909361839294,0.8125,0.9315143823623657,0.38858121633529663,0.7025862336158752,0.885869562625885
18,0.8288241624832153,0.9073528051376343,9.999999747378752e-05,0.38989102840423584,0.765605092048645,0.8056300282478333,0.8125,0.9343419075012207,0.39041125774383545,0.6991525292396545,0.89673912525177
19,0.8125,0.9484126567840576,9.999999747378752e-05,0.3328770399093628,0.7857142686843872,0.7857142686843872,0.8125,0.934516429901123,0.39001989364624023,0.6991525292396545,0.89673912525177
20,0.8355879187583923,0.9089372754096985,9.999999747378752e-05,0.3848963677883148,0.7602905631065369,0.8418230414390564,0.8104166388511658,0.9372705221176147,0.3774116337299347,0.6978723406791687,0.8913043737411499
